Date,NOROESTE 2 CO ppm,NOROESTE 2 NO ppb,NOROESTE 2 NO2 ppb,NOROESTE 2 NOX ppb,NOROESTE 2 O3 ppb,NOROESTE 2 PM10 ug/m3,NOROESTE 2 PM2.5 ug/m3,NOROESTE 2 PRS mmhg,NOROESTE 2 RAINF mm/hr,NOROESTE 2 RH %,NOROESTE 2 SO2 ppb,NOROESTE 2 SR KW/m2,NOROESTE 2 TOUT degC,NOROESTE 2 WSR KMPH,NOROESTE 2 WDV DEG
2023-01-02 10:00:00,2.07,11.1,13.1,24.2,17.0,59.0,8.37,697.2,0.0,25.0,2.9,0.1798,24.31,9.4,282.0
2023-01-02 11:00:00,2.02,9.5,7.8,17.4,22.0,56.0,7.24,697.4,0.0,20.0,2.6,0.3458,26.55,15.0,312.0
2023-01-02 12:00:00,2.03,7.6,7.0,14.5,24.0,66.0,8.5,696.8,0.0,16.0,2.3,0.3444,28.22,16.9,303.0
2023-01-02 13:00:00,2.04,6.9,5.9,12.8,26.0,138.0,11.22,696.2,0.0,13.0,2.2,0.1072,28.97,23.0,295.0
2023-01-02 14:00:00,2.02,7.3,6.7,13.9,26.0,183.0,13.04,695.4,0.0,13.0,2.3,0.161,29.86,20.9,283.0
2023-01-02 15:00:00,2.12,7.4,8.1,15.4,25.0,191.0,5.28,694.8,0.0,13.0,2.3,0.3024,30.69,13.5,261.0
2023-01-02 16:00:00,2.14,8.2,7.5,15.7,23.0,51.0,5.62,694.5,0.0,13.0,2.1,0.2906,30.07,17.4,298.0
2023-01-02 17:00:00,2.03,9.5,10.0,19.5,22.0,40.0,4.24,694.4,0.0,13.0,2.1,0.3492,29.8,12.7,291.0
2023-01-02 18:00:00,2.03,10.3,10.6,20.9,21.0,21.0,4.46,694.6,0.0,13.0,2.0,0.3572,29.07,13.7,298.0
2023-01-02 19:00:00,2.03,29.2,25.6,54.8,11.0,21.0,8.18,695.1,0.0,16.0,2.5,0.3314,27.34,6.7,315.0
2023-01-02 20:00:00,2.04,12.0,44.6,56.5,10.0,42.0,28.85,695.6,0.0,29.0,3.4,0.4694,24.64,8.1,319.5
2023-01-02 21:00:00,2.07,66.6,49.9,116.3,5.0,100.0,30.67,696.3,0.0,31.0,3.6,0.086,22.83,5.7,324.0
2023-01-02 22:00:00,2.04,124.2,47.8,171.9,4.0,113.0,43.43,696.4,0.0,35.0,3.7,0.3336,20.62,4.1,269.0
2023-01-02 23:00:00,2.14,107.5,41.2,148.5,4.0,166.0,46.33,696.6,0.0,37.0,3.4,0.3392,19.28,4.8,304.0
2023-01-03 00:00:00,2.08,38.2,29.1,67.2,5.0,173.0,28.42,696.8,0.0,33.0,2.9,0.251,19.12,7.6,293.0
2023-01-03 01:00:00,2.09,11.2,23.6,34.7,7.0,96.0,12.45,697.0,0.0,30.0,2.8,0.3218,19.35,5.9,330.0
2023-01-03 02:00:00,2.18,5.2,15.0,20.2,13.0,49.0,9.34,697.1,0.0,26.0,2.6,0.3944,20.36,8.1,334.0
2023-01-03 03:00:00,2.11,3.4,3.0,6.3,24.0,34.0,4.42,697.0,0.0,18.0,2.3,0.3654,24.51,14.9,306.0
2023-01-03 04:00:00,2.12,3.0,2.7,5.5,24.0,31.0,3.66,697.6,0.0,21.0,2.1,0.1168,23.47,15.5,310.0
2023-01-03 05:00:00,2.1,4.4,3.8,8.1,24.0,26.0,5.07,697.8,0.0,22.0,2.2,0.354,23.13,18.7,311.0
2023-01-03 06:00:00,2.11,6.2,5.7,11.9,23.0,34.0,4.65,698.1,0.0,22.0,2.2,0.354,22.82,17.1,306.0
2023-01-03 07:00:00,2.06,7.7,7.5,15.1,22.0,29.0,3.75,698.4,0.0,22.0,2.2,0.2808,22.13,15.3,307.0
2023-01-03 08:00:00,2.04,10.8,12.2,23.0,18.0,15.0,4.97,698.6,0.0,23.0,2.2,0.221,21.37,11.8,299.0
2023-01-03 09:00:00,2.04,10.1,12.0,22.1,18.0,22.0,4.87,699.0,0.0,21.0,2.3,0.3301999999999999,22.6,9.8,274.0
2023-01-03 10:00:00,1.97,8.8,9.1,17.9,24.0,24.0,4.4,699.3,0.0,16.0,2.0,0.2542,24.75,13.2,295.0
2023-01-03 11:00:00,2.02,8.3,6.9,15.2,27.0,30.0,3.3,699.3,0.0,13.0,2.0,0.3212,26.27,14.6,310.0
2023-01-03 12:00:00,1.99,7.3,6.7,14.0,27.0,21.0,3.96,698.7,0.0,13.0,2.1,0.2774,26.59,13.7,322.0
2023-01-03 13:00:00,1.96,7.5,13.1,20.6,30.0,33.0,9.1,697.7,0.0,14.0,3.3,0.2122,27.11,14.8,88.0
2023-01-03 14:00:00,2.04,6.9,15.5,22.4,35.0,99.0,10.55,697.0,0.0,16.0,3.1,0.2912,26.49,16.4,112.0
2023-01-03 15:00:00,2.0,6.0,15.1,21.1,39.0,93.0,9.43,696.5,0.0,15.0,3.2,0.2881999999999999,27.22,13.8,120.0
2023-01-03 16:00:00,2.0,5.5,17.7,23.2,43.0,73.0,10.27,696.3,0.0,14.0,3.1,0.2872,27.89,12.8,113.0
2023-01-03 17:00:00,2.02,4.4,19.8,24.3,47.0,65.0,12.17,696.5,0.0,17.0,3.3,0.1878,27.17,14.4,114.0
2023-01-03 18:00:00,1.97,3.9,24.8,28.7,41.0,75.0,12.77,697.3,0.0,19.0,3.7,0.1878,25.77,11.6,115.0
2023-01-03 19:00:00,1.99,4.5,32.5,36.9,29.0,72.0,15.56,698.3,0.0,24.0,5.3,0.3396,23.6,8.1,121.0
2023-01-03 20:00:00,2.04,3.7,23.6,27.2,23.0,86.0,14.22,699.4,0.0,24.0,13.2,0.2941999999999999,21.92,11.6,136.0
2023-01-03 21:00:00,2.07,4.1,29.1,33.1,15.0,77.0,15.24,700.5,0.0,25.0,9.2,0.3224,21.18,7.5,133.0
2023-01-03 22:00:00,1.99,46.4,41.2,87.3,5.0,69.0,21.14,701.0,0.0,27.0,7.8,0.407,20.09,6.4,193.0
2023-01-03 23:00:00,1.99,42.6,38.6,81.1,4.0,101.0,21.29,701.3,0.0,30.0,5.6,0.1137999999999999,18.13,4.4,109.0
2023-01-04 00:00:00,2.02,98.5,40.3,138.6,4.0,87.0,21.4,701.6,0.0,33.0,4.3,0.265,16.55,2.7,51.0
2023-01-04 01:00:00,2.03,26.9,32.4,59.2,5.0,88.0,16.8,701.8,0.0,35.0,3.2,0.0,15.31,3.1,39.0
2023-01-04 02:00:00,2.02,21.0,29.0,49.9,5.0,61.0,18.95,701.9,0.0,36.0,3.0,0.0656,14.43,2.8,22.0
2023-01-04 03:00:00,2.01,18.4,31.0,49.2,3.0,63.0,19.06,701.5,0.0,39.0,2.8,0.353,14.07,4.0,310.0
2023-01-04 04:00:00,2.07,15.6,30.5,46.0,4.0,92.0,20.92,701.2,0.0,38.0,3.1,0.3518,13.76,5.1,292.0
2023-01-04 05:00:00,2.1,20.8,31.3,52.0,3.0,79.0,17.65,701.6,0.0,38.0,3.2,0.3214,13.15,6.3,301.0
2023-01-04 06:00:00,2.07,47.9,35.7,83.5,3.0,61.0,17.99,701.9,0.0,38.0,3.5,0.252,13.46,5.7,306.0
2023-01-04 07:00:00,2.03,61.2,34.5,95.5,3.0,76.0,17.41,702.4,0.0,38.0,3.3,0.2838,12.85,5.1,293.0
2023-01-04 08:00:00,2.07,63.9,33.5,97.2,4.0,71.0,20.64,703.0,0.0,39.0,3.6,0.204,12.35,6.5,309.0
2023-01-04 09:00:00,2.06,59.5,33.0,92.3,5.0,94.0,22.75,704.0,0.0,33.0,5.5,0.0,15.76,5.4,283.0
2023-01-04 10:00:00,2.05,31.7,29.8,61.3,11.0,97.0,26.01,704.5,0.0,27.0,10.9,0.3431999999999999,20.14,3.7,59.0
