Date,CENTRO CO ppm,CENTRO NO ppb,CENTRO NO2 ppb,CENTRO NOX ppb,CENTRO O3 ppb,CENTRO PM10 ug/m3,CENTRO PM2.5 ug/m3,CENTRO PRS mmhg,CENTRO RAINF mm/hr,CENTRO RH %,CENTRO SO2 ppb,CENTRO SR KW/m2,CENTRO TOUT degC,CENTRO WSR KMPH,CENTRO WDV DEG
2023-01-01 22:00:00,1.7,3.6,37.5,41.2,14.0,65.0,44.47,708.7,0.0,41.0,6.9,0.001,22.45,7.4,311.0
2023-01-01 23:00:00,1.69,3.5,25.0,28.7,14.0,93.0,37.73,708.6,0.0,49.0,5.3,0.001,21.57,4.3,302.0
2023-01-02 00:00:00,2.17,3.8,30.3,34.2,7.0,67.0,37.55,708.2,0.0,54.0,4.5,0.001,20.13,3.6,238.0
2023-01-02 01:00:00,1.72,4.1,32.0,36.3,6.0,72.0,42.65,707.9,0.0,57.0,4.0,0.001,19.04,3.5,257.0
2023-01-02 02:00:00,1.61,3.8,29.3,33.3,8.0,73.0,40.42,707.7,0.0,59.0,3.9,0.001,18.32,3.4,259.0
2023-01-02 03:00:00,1.46,4.4,31.1,35.7,6.0,66.0,40.32,707.5,0.0,59.0,4.1,0.001,17.28,3.4,240.0
2023-01-02 04:00:00,1.3,3.8,27.5,31.5,8.0,78.0,41.78,707.5,0.0,61.0,4.5,0.001,16.98,3.4,264.0
2023-01-02 05:00:00,1.24,3.9,19.8,23.9,9.0,84.0,35.78,707.4,0.0,67.0,3.8,0.001,16.4,3.1,236.0
2023-01-02 06:00:00,1.3,5.3,25.5,31.0,7.0,73.0,40.94,707.4,0.0,60.0,4.7,0.001,16.11,3.8,232.0
2023-01-02 07:00:00,1.5,17.2,28.3,45.8,4.0,115.0,43.06,707.7,0.0,62.0,4.6,0.001,15.58,4.0,195.0
2023-01-02 08:00:00,1.64,39.8,29.1,69.2,4.0,117.0,40.05,707.7,0.0,45.0,5.5,0.011,17.91,5.2,198.0
2023-01-02 09:00:00,1.44,41.3,28.5,70.0,5.0,146.0,20.67,707.8,0.0,31.0,5.4,0.041,20.81,5.8,182.0
2023-01-02 10:00:00,2.16,36.349999999999994,41.2,68.05,5.0,89.0,20.64,708.2,0.0,33.0,7.3,0.146,22.3,5.9,30.0
2023-01-02 11:00:00,1.66,31.4,34.5,66.1,14.0,134.0,34.53,708.7,0.0,35.0,9.2,0.422,23.38,7.0,82.0
2023-01-02 12:00:00,1.27,11.2,23.7,35.1,25.0,91.0,21.12,708.3,0.0,27.0,5.3,0.451,26.2,5.3,102.0
2023-01-02 13:00:00,1.33,9.4,27.2,36.7,32.0,59.0,19.34,707.7,0.0,27.0,5.1,0.42,26.76,7.9,79.0
2023-01-02 14:00:00,1.26,7.1,23.5,30.9,41.0,72.0,21.79,706.8,0.0,24.0,4.6,0.51,28.07,7.7,88.0
2023-01-02 15:00:00,1.15,5.4,19.9,25.5,44.0,77.0,17.04,706.2,0.0,20.0,4.0,0.311,28.22,9.2,101.0
2023-01-02 16:00:00,1.1,4.9,15.7,20.8,41.0,69.0,13.78,705.8,0.0,22.0,4.0,0.252,28.9,8.4,102.0
2023-01-02 17:00:00,1.13,4.4,16.4,21.0,38.0,59.0,13.58,705.8,0.0,25.0,4.2,0.099,28.04,9.1,94.0
2023-01-02 18:00:00,1.24,5.1,25.2,30.5,27.0,55.0,14.81,705.9,0.0,27.0,4.0,0.031,26.63,6.1,103.0
2023-01-02 19:00:00,1.49,13.9,33.3,47.4,17.0,59.0,14.5,706.2,0.0,26.0,3.9,0.002,25.66,6.2,129.0
