Date,NORESTE CO ppm,NORESTE NO ppb,NORESTE NO2 ppb,NORESTE NOX ppb,NORESTE O3 ppb,NORESTE PM10 ug/m3,NORESTE PM2.5 ug/m3,NORESTE PRS mmhg,NORESTE RAINF mm/hr,NORESTE RH %,NORESTE SO2 ppb,NORESTE SR KW/m2,NORESTE TOUT degC,NORESTE WSR KMPH,NORESTE WDV DEG
2023-01-02 00:00:00,1.05,4.6,22.2,26.8,17.0,74.0,31.0,715.4,0.0,61.0,4.3,0.0,21.41,6.5,120.0
2023-01-02 01:00:00,1.12,4.9,28.5,33.4,10.0,76.0,36.0,715.0,0.0,67.0,4.0,0.0,19.98,4.5,71.0
2023-01-02 02:00:00,1.05,4.4,24.0,28.4,11.0,82.0,31.0,714.8,0.0,72.0,4.0,0.0,18.92,3.7,42.0
2023-01-02 03:00:00,1.0,4.8,27.0,31.8,6.0,67.0,27.0,714.6,0.0,77.0,3.75,0.0,17.95,4.1,360.0
2023-01-02 04:00:00,0.9,3.6,22.6,26.2,8.0,56.0,28.0,714.6,0.0,82.0,3.5,0.0,17.46,5.0,321.0
2023-01-02 05:00:00,0.91,5.5,22.8,28.4,7.0,52.0,33.0,714.5,0.0,85.0,3.2,0.0,17.03,3.9,319.0
2023-01-02 06:00:00,0.98,9.9,25.3,35.2,5.0,54.0,32.0,714.5,0.0,87.0,3.0,0.0,16.77,2.2,290.0
2023-01-02 07:00:00,1.27,23.8,26.5,50.3,5.0,59.0,30.0,714.8,0.0,88.0,3.0,0.0,16.85,4.3,248.0
2023-01-02 08:00:00,2.13,79.3,30.8,110.2,5.0,66.0,37.0,714.9,0.0,86.0,3.3,0.007,16.97,4.2,241.0
2023-01-02 09:00:00,2.59,102.1,37.7,139.9,7.5,102.0,46.0,715.0,0.0,75.0,3.5,0.033,18.72,2.8,150.0
2023-01-02 10:00:00,1.72,48.4,38.4,86.8,10.0,154.0,40.0,715.4,0.0,69.0,3.4,0.133,21.88,2.5,153.0
2023-01-02 11:00:00,1.33,23.1,33.5,56.6,18.0,127.0,38.0,715.8,0.0,57.0,5.1,0.263,25.48,3.5,197.0
2023-01-02 12:00:00,1.01,14.9,23.6,38.5,26.0,163.33333333333334,23.0,715.2,0.0,36.0,5.3,0.301,28.39,2.9,153.0
2023-01-02 13:00:00,0.88,6.9,19.0,25.9,35.0,199.66666666666663,16.0,714.6,0.0,27.0,3.6,0.274,29.61,4.4,25.0
2023-01-02 14:00:00,0.74,7.6,12.3,19.9,34.0,236.0,10.0,713.6,0.0,20.0,2.9,0.312,31.28,3.4,69.0
2023-01-02 15:00:00,0.78,9.3,13.8,23.1,35.0,67.0,10.0,712.9,0.0,19.0,3.0,0.209,30.86,5.8,159.0
2023-01-02 16:00:00,0.91,6.8,20.0,26.8,45.0,73.0,15.0,712.4,0.0,25.0,4.2,0.181,29.7,10.1,176.0
2023-01-02 17:00:00,0.93,6.9,20.7,27.6,38.0,81.0,13.0,712.5,0.0,26.0,4.4,0.085,29.13,8.0,174.0
2023-01-02 18:00:00,1.21,8.2,37.1,45.2,25.0,76.0,18.0,712.6,0.0,30.0,7.4,0.019,27.75,6.6,175.0
2023-01-02 19:00:00,1.74,22.4,59.7,82.0,11.0,94.0,29.0,713.0,0.0,34.0,7.300000000000001,0.0,25.84,1.1,228.0
2023-01-02 20:00:00,3.35,97.7,60.0,157.8,5.0,118.0,41.0,713.5,0.0,39.0,7.2,0.0,24.36,3.2,269.0
2023-01-02 21:00:00,3.95,137.3,53.1,190.4,5.0,154.0,74.0,714.1,0.0,44.0,5.0,0.0,22.39,1.7,271.0
2023-01-02 22:00:00,2.56,73.1,50.2,123.3,5.0,196.0,47.0,714.3,0.0,42.0,4.6,0.0,22.5,3.6,237.0
2023-01-02 23:00:00,2.74,101.0,47.0,147.9,5.166666666666667,146.0,38.0,714.4,0.0,43.0,4.7,0.0,20.82,1.5,291.0
2023-01-03 00:00:00,4.01,186.6,48.2,234.8,5.333333333333333,142.0,62.0,714.8,0.0,51.0,4.9,0.0,19.79,1.9,356.0
2023-01-03 01:00:00,3.68,209.8,54.2,264.0,5.5,206.0,76.0,715.0,0.0,52.0,5.1,0.0,19.72,4.5,282.0
2023-01-03 02:00:00,2.57,129.1,50.2,179.3,5.666666666666667,228.0,57.0,715.0,0.0,48.0,4.8,0.0,19.65,4.2,288.0
2023-01-03 03:00:00,1.61,47.0,40.7,87.8,5.833333333333333,190.0,40.0,715.1,0.0,44.0,4.4,0.0,19.65,4.3,312.0
2023-01-03 04:00:00,0.84,5.7,28.4,34.0,6.0,127.0,14.0,715.4,0.0,37.0,3.4,0.0,19.71,3.3,267.0
2023-01-03 05:00:00,0.99,14.1,33.4,47.5,5.0,72.0,18.0,715.6,0.0,34.0,4.8,0.0,20.98,6.1,251.0
2023-01-03 06:00:00,0.69,6.7,19.5,26.2,12.0,76.0,11.0,715.9,0.0,27.0,2.7,0.0,22.4,6.1,348.0
2023-01-03 07:00:00,0.7,6.1,20.2,26.3,11.0,92.0,11.0,716.5,0.0,32.0,2.6,0.0,20.22,3.7,50.0
2023-01-03 08:00:00,0.69,4.6,18.0,22.6,15.0,96.0,10.0,717.1,0.0,40.0,2.8,0.003,16.79,9.5,6.0
2023-01-03 09:00:00,0.65,6.2,14.7,20.9,20.0,89.0,10.0,717.7,0.0,37.0,2.7,0.079,16.9,12.3,358.0
2023-01-03 10:00:00,0.64,7.2,12.4,19.6,24.0,101.0,11.0,718.0,0.0,32.0,2.4,0.151,19.46,10.5,3.0
2023-01-03 11:00:00,0.6,5.8,9.1,14.9,28.0,102.0,10.0,718.2,0.0,27.0,2.4,0.287,22.01,10.5,24.0
2023-01-03 12:00:00,0.59,5.3,8.2,13.5,31.0,78.0,7.0,717.6,0.0,23.0,2.75,0.348,25.0,6.0,32.0
2023-01-03 13:00:00,0.6,7.1,8.6,15.8,32.0,64.0,7.0,716.6,0.0,20.0,3.1,0.381,25.85,8.3,59.0
2023-01-03 14:00:00,0.69,9.5,12.7,22.2,35.0,62.0,8.0,715.5,0.0,17.0,2.9,0.365,27.8,7.2,153.0
2023-01-03 15:00:00,0.71,7.9,15.0,22.9,42.0,66.0,12.0,714.8,0.0,16.0,2.8,0.267,28.34,8.7,170.0
2023-01-03 16:00:00,0.81,9.3,15.0,24.4,45.0,72.0,11.0,714.6,0.0,15.0,3.8,0.234,28.55,9.4,167.0
2023-01-03 17:00:00,0.76,6.6,13.6,20.3,52.0,76.0,12.0,714.8,0.0,21.0,9.5,0.131,27.44,12.8,150.0
2023-01-03 18:00:00,0.75,6.9,18.0,24.9,36.0,88.0,11.0,715.6,0.0,22.0,12.5,0.029,25.71,12.6,143.0
2023-01-03 19:00:00,0.78,6.2,22.0,28.2,25.0,79.0,14.0,716.7,0.0,23.0,12.2,0.0,23.73,10.7,143.0
2023-01-03 20:00:00,1.11,11.7,38.4,50.1,9.0,76.0,18.0,717.8,0.0,26.0,3.4,0.0,22.24,6.6,148.0
2023-01-03 21:00:00,1.15,12.5,36.0,48.4,10.0,89.0,16.0,718.8,0.0,27.0,3.1,0.0,21.5,5.2,161.0
2023-01-03 22:00:00,1.16,17.5,38.8,56.3,8.0,76.0,15.0,719.3,0.0,29.0,2.7,0.0,20.54,3.8,183.0
2023-01-03 23:00:00,1.69,51.4,42.4,93.8,5.0,66.0,20.0,719.6,0.0,32.0,2.9,0.0,19.47,3.3,220.0
2023-01-04 00:00:00,1.8,72.2,42.5,114.7,5.0,92.0,24.0,720.1,0.0,38.0,3.3,0.0,18.46,1.8,324.0
2023-01-04 01:00:00,1.81,109.1,43.8,152.9,5.0,100.0,40.0,720.2,0.0,40.0,3.7,0.0,17.58,3.6,310.0
2023-01-04 02:00:00,1.75,141.4,46.1,187.5,5.777777777777778,170.0,54.0,720.0,0.0,41.0,4.2,0.0,16.8,3.5,16.0
2023-01-04 03:00:00,1.36,91.0,42.2,133.2,6.555555555555555,220.0,44.0,719.9,0.0,41.0,3.9,0.0,16.12,2.1,284.0
2023-01-04 04:00:00,1.32,79.2,38.5,117.7,7.333333333333333,169.0,35.0,719.9,0.0,44.0,3.4,0.0,15.66,2.5,299.0
2023-01-04 05:00:00,1.4,87.7,37.1,124.8,6.137777777777779,136.0,37.0,720.1,0.0,47.0,3.4,0.0,15.1,1.7,282.0
2023-01-04 06:00:00,1.68,113.6,39.8,153.4,6.3999999999999995,162.0,44.0,720.4,0.0,48.0,3.7,0.0,15.42,4.7,262.0
2023-01-04 07:00:00,2.35,166.0,41.6,207.6,9.666666666666666,198.0,54.0,721.1,0.0,49.0,4.0,0.0,14.91,2.9,257.0
2023-01-04 08:00:00,2.85,195.5,40.8,236.3,10.444444444444445,231.0,51.0,721.7,0.0,52.0,4.4,0.005,14.57,3.0,329.0
2023-01-04 09:00:00,2.5,178.8,48.0,226.8,11.222222222222223,233.0,39.0,722.5,0.0,43.0,4.7,0.076,17.99,3.6,303.0
2023-01-04 10:00:00,1.33,46.6,41.8,88.4,12.0,186.0,19.0,723.1,0.0,31.0,3.7,0.144,22.55,1.3,304.0
2023-01-04 11:00:00,0.89,14.3,26.6,40.9,26.0,104.0,13.0,723.3,0.0,25.0,4.1,0.273,25.46,2.2,193.0
2023-01-04 12:00:00,0.81,10.4,23.4,33.8,34.0,63.0,14.0,723.0,0.0,26.0,8.0,0.335,24.34,5.4,139.0
2023-01-04 13:00:00,0.7,7.6,16.2,23.9,41.0,72.0,15.0,722.4,0.0,27.0,10.7,0.365,24.71,7.0,150.0
2023-01-04 14:00:00,0.71,8.4,13.1,21.5,42.0,72.0,14.0,721.6,0.0,28.0,6.6,0.359,25.14,9.5,125.0
2023-01-04 15:00:00,0.75,5.4,14.4,19.8,65.0,78.0,14.0,721.2,0.0,27.0,14.5,0.266,26.04,9.0,152.0
2023-01-04 16:00:00,0.73,4.2,15.9,20.1,77.0,77.0,16.0,720.8,0.0,26.0,12.25,0.233,25.93,10.6,149.0
2023-01-04 17:00:00,0.69,5.4,13.0,18.5,55.0,74.0,13.0,720.8,0.0,27.0,10.0,0.133,25.57,11.2,147.0
2023-01-04 18:00:00,0.81,5.3,15.6,20.9,39.0,76.0,13.0,721.0,0.0,30.0,3.9,0.03,24.48,10.9,150.0
2023-01-04 19:00:00,1.09,8.9,33.3,42.1,20.0,74.0,18.0,721.4,0.0,35.0,3.0,0.0,23.02,7.5,150.0
2023-01-04 20:00:00,1.65,25.9,52.7,78.6,7.0,89.0,26.0,722.1,0.0,37.0,3.4,0.0,21.97,5.2,169.0
2023-01-04 21:00:00,1.91,33.5,53.5,87.1,6.0,103.0,31.0,722.6,0.0,39.0,3.5,0.0,21.44,5.9,153.0
2023-01-04 22:00:00,1.17,8.1,33.1,41.2,18.0,119.0,22.0,723.2,0.0,41.0,3.6,0.0,21.14,9.4,154.0
2023-01-04 23:00:00,0.77,4.7,15.7,20.4,29.0,105.0,17.0,723.7,0.0,43.0,4.6,0.0,18.98,14.2,147.0
2023-01-05 00:00:00,0.72,3.6,13.0,16.6,30.0,89.0,14.0,724.1,0.0,46.0,2.9,0.0,18.19,10.8,151.0
2023-01-05 01:00:00,0.69,3.2,15.7,18.9,26.0,66.0,24.0,724.0,0.0,49.0,3.5,0.0,17.11,5.6,152.0
2023-01-05 02:00:00,0.77,3.4,20.9,24.2,21.0,68.0,23.0,723.9,0.0,52.0,3.5,0.0,15.98,3.1,124.0
2023-01-05 03:00:00,0.83,3.3,26.8,30.1,14.0,81.0,32.0,723.8,0.0,55.0,5.7,0.0,14.65,1.8,63.0
2023-01-05 04:00:00,0.8,3.2,25.9,29.1,13.0,80.0,26.0,723.8,0.0,56.0,4.7,0.0,14.13,3.9,30.0
2023-01-05 05:00:00,0.77,16.9,34.1,51.0,9.0,69.0,20.0,724.2,0.0,56.0,4.1,0.0,14.05,4.1,331.0
2023-01-05 06:00:00,0.92,33.2,43.2,76.4,5.0,82.0,27.0,724.3,0.0,58.0,3.8,0.0,13.91,4.6,314.0
2023-01-05 07:00:00,1.07,32.7,43.1,75.8,5.0,92.0,26.0,724.8,0.0,57.0,4.1,0.0,13.99,5.1,308.0
2023-01-05 08:00:00,1.79,86.8,44.3,131.1,5.0,87.0,25.0,725.4,0.0,58.0,5.6,0.003,13.8,3.5,316.0
2023-01-05 09:00:00,2.1,88.7,44.9,133.6,7.0,89.0,33.0,725.9,0.0,53.0,7.7,0.073,17.38,2.8,236.0
2023-01-05 10:00:00,1.7,52.4,50.7,103.1,11.0,143.0,42.0,726.1,0.0,44.0,8.5,0.142,22.29,1.2,156.0
2023-01-05 11:00:00,1.33,29.1,44.1,73.2,21.0,171.0,43.0,726.1,0.0,40.0,7.6,0.27,21.81,5.2,38.0
2023-01-05 12:00:00,0.78,6.4,17.2,23.5,43.0,149.0,19.0,725.7,0.0,33.0,5.1,0.342,23.44,5.4,42.0
2023-01-05 13:00:00,0.79,5.6,15.9,21.5,50.0,127.0,17.0,725.0,0.0,32.0,4.4,0.37,25.38,4.2,64.0
2023-01-05 14:00:00,0.89,9.0,22.8,31.8,51.0,92.0,22.0,724.1,0.0,31.0,4.2,0.361,25.67,8.4,153.0
2023-01-05 15:00:00,0.88,6.9,19.0,25.9,60.0,102.0,19.0,723.4,0.0,29.0,5.4,0.266,26.42,9.6,140.0
2023-01-05 16:00:00,0.93,5.6,26.9,32.5,106.0,93.0,27.0,723.1,0.0,29.0,11.8,0.233,26.47,11.4,146.0
2023-01-05 17:00:00,0.87,5.1,17.7,22.8,74.0,111.0,18.0,723.0,0.0,29.0,18.2,0.134,26.09,11.9,151.0
2023-01-05 18:00:00,0.85,7.5,20.5,28.0,45.0,92.0,16.0,723.0,0.0,32.0,5.4,0.03,25.27,10.3,142.0
2023-01-05 19:00:00,1.34,13.1,43.0,56.1,14.0,80.0,21.0,723.1,0.0,38.0,5.9,0.0,23.84,7.3,145.0
2023-01-05 20:00:00,1.4,16.5,46.9,63.4,8.0,111.0,28.0,723.5,0.0,42.0,5.0,0.0,22.79,8.2,145.0
2023-01-05 21:00:00,1.11,8.6,31.5,40.1,15.0,120.0,22.0,723.9,0.0,47.0,3.5,0.0,21.9,10.5,139.0
2023-01-05 22:00:00,0.95,8.6,23.7,32.3,19.0,92.0,18.0,724.2,0.0,52.0,3.2,0.0,21.16,9.8,143.0
2023-01-05 23:00:00,0.91,4.7,18.2,22.9,21.0,74.0,16.0,724.2,0.0,61.0,3.1,0.0,20.47,10.7,143.0
2023-01-06 00:00:00,0.88,4.8,16.7,21.5,20.0,69.0,14.0,724.0,0.0,71.0,3.0,0.0,18.92,11.6,134.0
2023-01-06 01:00:00,0.85,4.0,17.6,21.6,16.0,60.0,17.0,723.9,0.0,80.0,2.9,0.0,17.35,5.3,113.0
2023-01-06 02:00:00,0.81,3.6,16.8,20.4,14.0,70.0,20.0,723.7,0.0,85.0,2.9,0.0,16.22,5.4,96.0
2023-01-06 03:00:00,0.75,3.2,8.4,11.7,19.0,59.0,20.0,723.5,0.0,90.0,2.95,0.0,16.01,6.3,145.0
2023-01-06 04:00:00,0.76,3.4,9.4,12.8,18.0,48.0,23.0,723.3,0.0,91.0,3.0,0.0,16.08,2.1,156.0
2023-01-06 05:00:00,0.74,3.2,6.7,10.0,22.0,53.0,22.0,723.2,0.0,90.0,3.1,0.0,16.39,3.1,177.0
2023-01-06 06:00:00,0.75,4.8,7.7,12.5,22.0,52.0,19.0,723.2,0.0,87.0,2.9,0.0,16.55,1.8,186.0
2023-01-06 07:00:00,0.78,3.6,12.3,15.8,18.0,51.0,23.0,723.3,0.0,84.0,2.8,0.0,16.65,1.6,69.0
2023-01-06 08:00:00,0.99,10.8,22.6,33.4,8.0,53.0,23.0,723.5,0.0,85.0,2.8,0.0,16.54,5.2,90.0
2023-01-06 09:00:00,0.97,7.1,21.9,29.0,12.0,77.0,28.0,723.9,0.0,85.0,2.7,0.015,16.78,3.9,74.0
2023-01-06 10:00:00,1.25,21.2,27.6,48.8,9.0,86.0,33.0,724.3,0.0,81.0,2.9,0.059,17.48,4.9,128.0
2023-01-06 11:00:00,1.3,19.0,27.3,46.3,15.0,103.0,49.0,724.3,0.0,72.0,3.2,0.236,20.04,1.5,78.0
2023-01-06 12:00:00,0.99,10.8,17.7,28.5,27.0,123.0,36.0,723.8,0.0,66.0,3.3,0.325,21.53,5.0,58.0
2023-01-06 13:00:00,0.92,8.4,17.1,25.5,35.0,91.0,27.0,722.9,0.0,62.0,3.2,0.36,23.27,2.2,102.0
